"c_nzuimm10", 12, 5
"c_uimm7lo", 6, 5
"c_uimm7hi", 12, 10
"c_uimm8lo", 6, 5
"c_uimm8hi", 12, 10
"c_nzimm6lo", 6, 2
"c_nzimm6hi", 12, 12
"c_imm6lo", 6, 2
"c_imm6hi", 12, 12
"c_nzimm10hi", 12, 12
"c_nzimm10lo", 6, 2
"c_nzimm18hi", 12, 12
"c_nzimm18lo", 6, 2
"c_imm12", 12, 2
"c_bimm9lo", 6, 2
"c_bimm9hi", 12, 10
"c_nzuimm6lo", 6, 2
"c_nzuimm6hi", 12, 12
"c_uimm8splo", 6, 2
"c_uimm8sphi", 12, 12
"c_uimm8sp_s", 12, 7
"c_uimm9splo", 6, 2
"c_uimm9sphi", 12, 12
"c_uimm9sp_s", 12, 7
"c_uimm2", 6, 5
"c_uimm1", 5, 5
"c_spimm", 3, 2
